student_id,course_id,course_name,description,semester
100002,9001,Programming for Everybody,Basics of Programming,1
100002,9014,Relational Databases,Basics of Programming,2
100002,9027,C Programming: Basics,Basics of Programming,3
100002,9044,Data Science  with Python,Basics of Programming,1
100002,9057,Intro to Java Part 1,Basics of Programming,2
100002,9070,Animation and CGI Motion,Basics of Programming,3
100002,9087,Big Data Analytics,Basics of Programming,1
100002,9100,"HTML5, CSS3, and JavaScript",Basics of Programming,2
100002,9113,Cybersecurity Career Path,Basics of Programming,3
100003,9002,Intro to Computer Science,Basics of Programming,1
100003,9015,C Programming,Basics of Programming,2
100003,9028,Introduction to Networking,Basics of Programming,3
100003,9045,Computing in Python III  ,Basics of Programming,1
100003,9058,Video game development,Basics of Programming,2
100003,9071,IT Foundations,Basics of Programming,3
100003,9088,AI Applications with Watson,Basics of Programming,1
100003,9101,Amazon SageMaker ,Basics of Programming,2
100003,9114,Databases Modeling,Basics of Programming,3
100004,9001,Programming for Everybody,Basics of Programming,1
100004,9076,Algorithm Design and Analysis,Basics of Programming,1
100004,9081,C Programming  Pointers,Basics of Programming,1
100005,9003,Intro to AI with Python,Basics of Programming,1
100005,9007,Procedural Programming,Basics of Programming,2
100005,9054,MATLAB for Beginners,Basics of Programming,1
100005,9062,Exploring GraphQL,Basics of Programming,2
100005,9067,Network and Security,Basics of Programming,2
100005,9105,Data Science and Simulations,Basics of Programming,1
100006,9004,Web Programming with Python,Basics of Programming,1
100006,9008,Basics of Programming,Basics of Programming,2
100006,9055,Linux Basics  The CLI,Basics of Programming,1
100006,9063,Blockchain Basics,Basics of Programming,2
100006,9068,Data Structures Fundamentals,Basics of Programming,2
100006,9106,Programming for Data Science,Basics of Programming,1
100007,9002,Intro to Computer Science,Basics of Programming,1
100007,9077,Human-Computer Interaction I,Basics of Programming,1
100007,9082,IoT Programming and Big Data,Basics of Programming,1
100008,9005,Using Python for Research,Basics of Programming,1
100008,9009,HTML5 and CSS Fundamentals,Basics of Programming,2
100008,9056,Marketing Analytics and Sales,Basics of Programming,1
100008,9064,Computer Vision Fundamentals,Basics of Programming,2
100008,9069,Unlocking Info Security  Part II,Basics of Programming,2
100008,9107,Building a Cybersecurity Toolkit,Basics of Programming,1
100009,9006,Introduction to Linux,Basics of Programming,1
100009,9010,Computer Science 101,Basics of Programming,2
100009,9057,Intro to Java Part 1,Basics of Programming,1
100009,9065,Intro to Cloud Computing,Basics of Programming,2
100009,9070,Animation and CGI Motion,Basics of Programming,2
100009,9108,Embedded Systems Essentials,Basics of Programming,1
100010,9003,Intro to AI with Python,Basics of Programming,1
100010,9016,Programming with JavaScript,Basics of Programming,2
100010,9029,Intro to coding in Java,Basics of Programming,3
100010,9046,Software  Fundamentals,Basics of Programming,1
100010,9059,DS and Software Design,Basics of Programming,2
100010,9072,Algorithms  Design Part 2,Basics of Programming,3
100010,9089,Building Containerized Apps,Basics of Programming,1
100010,9102,Algorithmics with Python,Basics of Programming,2
100010,9115,Object-Oriented Design,Basics of Programming,3
100011,9003,Intro to AI with Python,Basics of Programming,1
100011,9078,Mining Massive Datasets,Basics of Programming,1
100011,9083,AWS - Cloud Security,Basics of Programming,1
100013,9004,Web Programming with Python,Basics of Programming,1
100013,9079,Implementation of DS,Basics of Programming,1
100013,9084,Agile Software Development,Basics of Programming,1
100014,9005,Using Python for Research,Basics of Programming,1
100014,9080,Big Data Fundamentals,Basics of Programming,1
100014,9085,Intro to Database Queries,Basics of Programming,1
100015,9006,Introduction to Linux,Basics of Programming,1
100015,9081,C Programming  Pointers,Basics of Programming,1
100015,9086,IoT System Architecture ,Basics of Programming,1
100017,9007,Procedural Programming,Basics of Programming,1
100017,9082,IoT Programming and Big Data,Basics of Programming,1
100017,9087,Big Data Analytics,Basics of Programming,1
100018,9004,Web Programming with Python,Basics of Programming,1
100018,9017,Computer Science for Business,Basics of Programming,2
100018,9030,Data Science and Analytics,Basics of Programming,3
100018,9047,Foundations of Data Structures,Basics of Programming,1
100018,9060,Cybersecurity Infrastructure,Basics of Programming,2
100018,9073,Automata Theory,Basics of Programming,3
100018,9090,Open Source Networking,Basics of Programming,1
100018,9103,Intro to Java Programming 2,Basics of Programming,2
100018,9116,Scripting and Programming,Basics of Programming,3
100020,9007,Procedural Programming,Basics of Programming,1
100020,9011,AI for Everyone: Basics,Basics of Programming,2
100020,9058,Video game development,Basics of Programming,1
100020,9066,Intro to DevOps and SRE,Basics of Programming,2
100020,9071,IT Foundations,Basics of Programming,2
100020,9109,Enabling Tech for Data Science,Basics of Programming,1
100023,9001,Programming for Everybody,Basics of Programming,3
100023,9005,Using Python for Research,Basics of Programming,1
100023,9018,Artificial Intelligence (AI),Basics of Programming,2
100023,9031,ML-Data Science and Analytics,Basics of Programming,3
100023,9048,IoT - Software Integration,Basics of Programming,1
100023,9061,IoT Sensors and Devices,Basics of Programming,2
100023,9074,C Programming ,Basics of Programming,3
100023,9091,Deep Learning Essentials,Basics of Programming,1
100023,9104,UML Class Diagrams,Basics of Programming,2
100024,9002,Intro to Computer Science,Basics of Programming,3
100024,9006,Introduction to Linux,Basics of Programming,1
100024,9019,Programming Basics,Basics of Programming,2
100024,9032,Intro to Cloud Infrastructure,Basics of Programming,3
100024,9049,AI Chatbots Programming,Basics of Programming,1
100024,9062,Exploring GraphQL,Basics of Programming,2
100024,9075,Algorithmic Design Techniques,Basics of Programming,3
100024,9092,Migrating to the AWS Cloud,Basics of Programming,1
100024,9105,Data Science and Simulations,Basics of Programming,2
100025,9008,Basics of Programming,Basics of Programming,1
100025,9012,Machine Learning with Python,Basics of Programming,2
100025,9059,DS and Software Design,Basics of Programming,1
100025,9067,Network and Security,Basics of Programming,2
100025,9072,Algorithms  Design Part 2,Basics of Programming,2
100025,9110,Introduction to Cloud Foundry,Basics of Programming,1
100026,9003,Intro to AI with Python,Basics of Programming,3
100026,9007,Procedural Programming,Basics of Programming,1
100026,9020,HTML Coding,Basics of Programming,2
100026,9033,Machine Learning,Basics of Programming,3
100026,9050,Computing in Python IV ,Basics of Programming,1
100026,9063,Blockchain Basics,Basics of Programming,2
100026,9076,Algorithm Design and Analysis,Basics of Programming,3
100026,9093,IoT Networks and Protocols,Basics of Programming,1
100026,9106,Programming for Data Science,Basics of Programming,2
100027,9004,Web Programming with Python,Basics of Programming,3
100027,9008,Basics of Programming,Basics of Programming,1
